time,entity,id,x,y,status,battery,region,direction
25,drone,2,33.28696785835454,29.370425713316365,direct_transport_to_delivery,262.33088248544095,global,
25,drone,3,18.0,24.0,idle,283.1538585170036,global,
25,drone,4,47.0,16.0,direct_transport_to_delivery,269.58427605082966,global,
25,drone,5,66.66666666666667,40.0,idle,300.0,global,
25,drone,6,14.599979483626042,51.720242093212704,direct_transport_to_pickup,285.0,global,
25,drone,7,40.0,66.66666666666667,idle,300.0,global,
25,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
25,bus,0,15.0,50.0,at_station,,,1.0
25,bus,1,15.0,60.0,at_station,,,-1.0
25,bus,2,50.0,15.0,at_station,,,1.0
25,bus,3,50.0,25.0,at_station,,,-1.0
25,bus,4,15.0,30.0,at_station,,,1.0
25,bus,5,35.0,60.0,at_station,,,-1.0
25,bus,6,30.0,15.0,at_station,,,1.0
25,bus,7,50.0,45.0,at_station,,,-1.0
25,bus,8,15.0,10.0,at_station,,,1.0
25,bus,9,55.0,60.0,at_station,,,-1.0
25,bus,10,10.0,15.0,at_station,,,1.0
25,bus,11,50.0,65.0,at_station,,,-1.0
26,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
26,drone,1,16.0,22.0,idle,274.1527588830321,global,
26,drone,2,29.382623811139386,32.49390095108849,direct_transport_to_delivery,257.33088248544095,global,
26,drone,3,18.0,24.0,idle,283.1538585170036,global,
26,drone,4,44.22649901887385,20.160251471689218,direct_transport_to_delivery,264.58427605082966,global,
26,drone,5,66.66666666666667,40.0,idle,300.0,global,
26,drone,6,15.0,47.0,direct_transport_to_delivery,280.26283820921674,global,
26,drone,7,40.0,66.66666666666667,idle,300.0,global,
26,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
26,bus,0,15.0,50.0,at_station,,,1.0
26,bus,1,15.0,60.0,at_station,,,-1.0
26,bus,2,50.0,15.0,at_station,,,1.0
26,bus,3,50.0,25.0,at_station,,,-1.0
26,bus,4,15.0,30.0,at_station,,,1.0
26,bus,5,35.0,60.0,at_station,,,-1.0
26,bus,6,30.0,15.0,at_station,,,1.0
26,bus,7,50.0,45.0,at_station,,,-1.0
26,bus,8,15.0,10.0,at_station,,,1.0
26,bus,9,55.0,60.0,at_station,,,-1.0
26,bus,10,10.0,15.0,at_station,,,1.0
26,bus,11,50.0,65.0,at_station,,,-1.0
27,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
27,drone,1,16.0,22.0,idle,274.1527588830321,global,
27,drone,2,25.478279763924235,35.61737618886061,direct_transport_to_delivery,252.33088248544095,global,
27,drone,3,18.0,24.0,idle,283.1538585170036,global,
27,drone,4,41.452998037747705,24.320502943378436,direct_transport_to_delivery,259.58427605082966,global,
27,drone,5,66.66666666666667,40.0,idle,300.0,global,
27,drone,6,11.464466094067262,50.53553390593274,direct_transport_to_delivery,275.26283820921674,global,
27,drone,7,40.0,66.66666666666667,idle,300.0,global,
27,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
27,bus,0,15.0,52.5,moving,,,1.0
27,bus,1,15.0,57.5,moving,,,-1.0
27,bus,2,50.0,17.5,moving,,,1.0
27,bus,3,50.0,22.5,moving,,,-1.0
27,bus,4,15.0,32.5,moving,,,1.0
27,bus,5,32.5,60.0,moving,,,-1.0
27,bus,6,32.5,15.0,moving,,,1.0
27,bus,7,50.0,42.5,moving,,,-1.0
27,bus,8,15.0,12.5,moving,,,1.0
27,bus,9,52.5,60.0,moving,,,-1.0
27,bus,10,12.5,15.0,moving,,,1.0
27,bus,11,50.0,62.5,moving,,,-1.0
